,COUNT_VEC_train_loss,COUNT_VEC_val_loss,COUNT_VEC_recall_train,COUNT_VEC_recall_val
0,2.3779639217049575,1.2981975106305854,0.5473732297852901,0.6423090975520643
1,1.0880644134310788,21.031197786331177,0.6412060301507537,0.6156375593715747
2,1.5710087588360144,1.0448318082232808,0.6160804020100502,0.6839605407380344
3,0.8933439804890821,0.9314334808393966,0.6856098675194152,0.6773839970770917
4,0.7837218793195694,0.7611759637677392,0.7292827775239835,0.7614176105224698
5,0.7516254787874777,0.6870019893313564,0.7312014618547282,0.77274388016076
6,0.728816493306049,0.6558770987876626,0.735404294198264,0.7815126050420168
7,0.7048920280365056,0.8635976030382999,0.7440840566468707,0.7804165144318597
8,0.6806547891261966,0.7176855975805327,0.7482868889904066,0.7672634271099744
9,0.733314688878234,0.71168962328933,0.7347647327546825,0.7658019729630983
10,0.6771485387932422,0.6645201444625854,0.7491091822750114,0.7917427840701498
11,0.6819951492686604,0.7351474436216576,0.7574234810415715,0.782974059188893
12,0.662092074232046,0.6736829114514727,0.7537688442211056,0.7906466934599927
13,0.7843844659713118,0.7601614989513574,0.7409776153494746,0.783704786262331
14,0.6693299698621727,0.6904403927714325,0.7558702603928734,0.793569601753745
15,0.6639093258526436,0.711432122213896,0.7624486066697121,0.7972232371209353
16,0.6798485098190086,0.7017395669637725,0.7529465509365006,0.7701863354037267
17,0.733782422057418,0.7004437827786734,0.7481955230698949,0.7858969674826453
18,0.7253839496609776,0.7070275302543196,0.7527638190954774,0.7932042382170259
19,0.7247402431486651,0.8659342319466347,0.7396984924623116,0.7570332480818415
20,0.8526717043200205,0.7110351497350738,0.7060758337140247,0.7796857873584216
21,0.6466327379782533,0.8842181279215702,0.7614435815440841,0.8001461454146876
22,0.6216790885772809,0.9758653398170027,0.7704888076747374,0.7990500548045305
23,0.6182082125613856,0.8807713555735212,0.7682960255824578,0.7913774205334307
24,0.6164773380340531,0.7818141628143399,0.7707629054362722,0.804165144318597
25,0.5972595306676488,0.8629220259744067,0.7737779808131567,0.8027036901717208
26,0.6061365807125735,1.001665127831836,0.7730470534490635,0.7964925100474972
27,0.5859194034060766,0.8131525474925374,0.7740520785746916,0.8023383266350018
28,0.5926755930102149,0.7343970703524213,0.7750571037003198,0.8023383266350018
29,0.5774755143495494,0.8796799993792246,0.7802649611694837,0.7899159663865546
